title,price,link
"HP Laptop 15, 12th Gen i5-1235U, 15.6-inch (39.6 cm), FHD, Anti-Glare, 8GB DDR4, 512GB SSD, Intel Iris Xᶱ Graphics, Backlit Keyboard, Dual Speakers, (Win 11, MSO 2021, Silver, 1.69 kg), 15s-fy5007TU","48,490",https://amazon.in//HP-i5-1235U-15-6-inch-Anti-Glare-15s-fy5007TU/dp/B0CJBP38HR/ref=sr_1_104?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-104
"Lenovo IdeaPad 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office 2021/1Yr ADP Free/Cloud Grey/1.58Kg), 82VG00EVIN","31,990",https://amazon.in//Lenovo-IdeaPad-Windows-Warranty-82VG00EVIN/dp/B0CJLP39RS/ref=sr_1_105?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-105
"Dell (Refurbished) Latitude 3400 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel UHD Graphics)","23,898",https://amazon.in//Dell-Refurbished-Latitude-Bluetooth-Graphics/dp/B0CK5TWRPZ/ref=sr_1_106?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-106
"MOKOBARA The EM Travel 45L Premium 16"" Unisex Multipurpose Backpack (Enough Yellow)","6,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NjExNjQ0NDcyNDI0NzczOjE3MjU5NzE0OTM6c3BfbXRmOjMwMDI0NzA4NzAxMTczMjo6MDo6&url=%2FMOKOBARA-Em-Travel-Backpack-All-Purpose%2Fdp%2FB0C8594PQ7%2Fref%3Dsr_1_107_sspa%3Fcrid%3D3HKD1SIJKEIJS%26dib%3DeyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725971493%26sprefix%3Dla%252Caps%252C435%26sr%3D8-107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Chuwi GemiBook Plus 15.6"" Laptop, 8GB RAM 256GB SSD, Windows 11, Intel N100 (Upto 3.4GHz), WIFI 6, USB-A 3.0, Webcam, Bluetooth 5.2, HDMI Port, 38Wh, 1.7kg (Iron Gray)","21,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMTMwMDI3MDg1NzM3NjMwOjE3MjU5NzE0Mzg6c3BfYXRmX25leHQ6MzAwMTM3MzY0NDY0MTMyOjowOjo&url=%2FChuwi-GemiBook-Plus-Windows-Bluetooth%2Fdp%2FB0CP98WK8J%2Fref%3Dsr_1_33_sspa%3Fcrid%3D3HKD1SIJKEIJS%26dib%3DeyJ2IjoiMSJ9.-1CQOz6CeF7fqDzk3hUHdAnhN1AlWy8092nO99o7uA21Jy2-x4-uc9ZyGbBd9X_J1jcwhw2o7xcoiybG4OQiKEIEXJPJ2Y00HyRJzIKelHnysdyKsDkmZlqpAunBV6MmtJ8xYdiQeRicYiyWNmMTc9hv5qM7y-C0yRWRDKfRICh45VYtDONA60w6dSWsRl6tN7fxFpyU07sv_KVa9-FPDhl84fqoCDwC6uP0L8JDe_0.PioxhlVBXNG6IY69tGJJlGFkgNmWxxr3ktulA0A1yoQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725971438%26sprefix%3Dla%252Caps%252C435%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/1Yr Warranty/Cloud Grey/1.58Kg), 82VG00ESIN","40,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NjExNjQ0NDcyNDI0NzczOjE3MjU5NzE0OTM6c3BfbXRmOjMwMDMyMzQyNjUyMDIzMjo6MDo6&url=%2FLenovo-IdeaPad-Windows-Warranty-82VG00ESIN%2Fdp%2FB0CJVGKM7D%2Fref%3Dsr_1_108_sspa%3Fcrid%3D3HKD1SIJKEIJS%26dib%3DeyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725971493%26sprefix%3Dla%252Caps%252C435%26sr%3D8-108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU","48,010",https://amazon.in//HP-15-6-inch-Graphics-Speakers-ey2001AU/dp/B0C9DDN2JB/ref=sr_1_109?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-109
"Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Laptop Z2-493 with 35.56 cm (14.0"") HD Display","25,469",https://amazon.in//Acer-Processor-Graphics-Windows-Z2-493/dp/B0C3R5VWP3/ref=sr_1_110?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-110
"Acer Aspire 5 Gaming Laptop 13th Gen Intel Core i5(16GB RAM/512GB SSD/NVIDIA RTX 2050 4GB Graphics/144Hz/Win11Home)A515-58GM 15.6"" FHD Display, Steel Gray, Backlit Keyboard, Fingerprint Reader, 1.78KG","56,990",https://amazon.in//Acer-Graphics-Win11Home-A515-58GM-Fingerprint/dp/B0D1G7B66L/ref=sr_1_111?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-111
"(Refurbished) HP Chromebook 13 G1 6th Gen Intel Core m5 FHD Thin & Light Laptop (8 GB RAM| 32 GB eMMC Storage| 13.3"" (33.8 cm) FHD| Chrome OS| WiFi| Bluetooth| Webcam| Intel Graphics)","12,999",https://amazon.in//Refurbished-HP-Chromebook-13-G1/dp/B0D335SPLQ/ref=sr_1_112?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-112
